	GSM2785932	GSM2785933	GSM2785934	GSM2785935	GSM2785936	GSM2785937	GSM2785938	GSM2785939	GSM2785940	GSM2785941	GSM2785942	GSM2785943	GSM2785944	GSM2785945	GSM2785946	GSM2785947	GSM2785948	GSM2785949	GSM2785950	GSM2785951	GSM2785952	tvalue	pvalue
CB_000143	0.7057991	1.5571737	2.6558876	3.0754566	1.1252394	1.7017097	0.3891487	0.8170767	1.7234402	2.0496197	1.5372438	1.8397284	1.2166471	2.3890953	1.9678535	2.4074821	1.661521	2.295785	2.3859196	2.2042007	0.41595936	-6.08370868340937	0.000294719217402375
CB_000242	-4.8649063	-4.331129	-4.3345575	-2.7320209	-5.4687686	-4.543975	-5.7089863	-4.655969	-4.7349577	-3.6136384	-5.098251	-3.6127863	-5.170621	-3.9863186	-4.4624796	-3.558649	-4.824223	-4.143007	-5.2289734	-3.9637947	-5.096166	-9.14435588224009	1.64828950069266e-05
CB_000346	4.768915	5.255166	4.3919964	4.8781614	5.11318	5.3181458	4.2964745	4.5725756	4.6586714	4.936595	5.2431784	5.442566	4.663128	4.895694	4.6929197	4.8937798	4.862402	5.032983	4.483164	4.9246254	3.8847523	-6.96733296797383	0.000116378393547717
CB_001557	1.541482	1.2202692	0.52574825	-0.15659332	2.204877	1.5249329	1.792407	1.4035597	1.4851189	0.54911613	2.339882	1.7182846	0.60148144	0.42936325	1.4406252	0.75976753	1.5746536	0.7217035	0.19294167	0.8108463	1.4553204	7.1003738299483	0.000101955274816745
CB_001585	-0.3752327	0.47027302	0.17087746	0.8614559	0.63395023	0.88116646	-0.913394	-0.25014877	-0.2433796	0.34051895	0.26310635	0.6646948	0.2274437	0.7023907	0.02417469	0.818408	0.19420433	0.4410038	0.58437824	0.69023514	-1.0316272	-7.45117046345478	7.25642032170934e-05
CB_001634	-3.148963	-3.3509054	-4.0471296	-4.9384646	-3.2701855	-3.9009833	-2.2543216	-2.7789497	-4.2706904	-4.7033205	-2.927267	-3.909017	-3.252377	-3.8604984	-3.4505548	-4.263135	-3.4473248	-4.2278748	-4.1121883	-4.9728885	-3.5353537	8.00038034400807	4.36533184152772e-05
CB_002910	-2.9985147	-3.5873752	-2.853426	-3.159463	-2.893736	-3.870638	-2.5810442	-2.855332	-2.2205644	-2.6914663	-3.5476952	-3.8335862	-2.6440902	-2.953421	-2.697783	-3.4559383	-2.9765754	-3.4102564	-3.185759	-4.0804615	-3.7777748	6.0122003454083	0.000319029097030948
CB_003564	-2.4847727	-2.5533538	-4.118973	-5.4615955	-2.8925757	-3.6945238	-2.5906801	-3.3098593	-4.308407	-5.3920956	-1.7002687	-2.6568918	-3.9971747	-4.568741	-3.508017	-4.1451044	-3.422019	-5.029625	-4.4693127	-5.2360554	-3.482998	5.74588732767231	0.000431024385888796
CB_004894	-2.3093138	-3.3041368	-3.7261891	-4.257736	-2.0221996	-3.2653933	-3.1419792	-3.733324	-1.8290462	-2.7969818	-1.3372192	-2.2993736	-3.152749	-3.498929	-2.9271865	-3.654358	-3.343525	-3.6667857	-2.5614328	-3.3944626	-4.8111277	6.98915216213923	0.00011386548382905
CB_006136	0.041394234	0.34692478	0.64728737	0.9599161	0.6229172	1.0282354	-0.27980328	-0.010214806	0.14280033	0.28839397	0.66776085	0.85671806	-0.08357906	0.24721336	0.36198425	0.7293539	0.13355923	0.5485096	0.3327999	0.10801697	-0.71845245	-9.99064934473483	8.5476705404898e-06
CB_006508	-4.6340075	-3.4837742	-3.8853035	-2.3652382	-4.3893437	-4.142077	-6.4256725	-4.723016	-5.483841	-4.189887	-4.064545	-3.1854696	-6.280112	-4.5371723	-4.674121	-3.995263	-5.446581	-4.703524	-4.340532	-4.6944785	-3.5214052	-6.51998432867729	0.000184187986142699
