study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	read_count	base_count	experiment_title	study_title	fastq_ftp	fastq_galaxy	submitted_galaxy
PRJNA315695	SAMN04568407	SRS1351402	SRX1648319	SRR3263254	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	128916097	22215251902	Illumina HiSeq 2000 sequencing; CD4+ Lymphocytes from peripheral blood 18yo individual (CD4-Y1)	Epigenomic analysis of lymphocytes and fibroblasts	ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/004/SRR3263254/SRR3263254.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/004/SRR3263254/SRR3263254_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/004/SRR3263254/SRR3263254_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/004/SRR3263254/SRR3263254.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/004/SRR3263254/SRR3263254_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/004/SRR3263254/SRR3263254_2.fastq.gz	
PRJNA315695	SAMN04568408	SRS1351469	SRX1648432	SRR3263674	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	122988081	21215596148	Illumina HiSeq 2000 sequencing; CD4+ Lymphocytes from peripheral blood 25yo individual (CD4-Y2)	Epigenomic analysis of lymphocytes and fibroblasts	ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/004/SRR3263674/SRR3263674.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/004/SRR3263674/SRR3263674_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/004/SRR3263674/SRR3263674_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/004/SRR3263674/SRR3263674.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/004/SRR3263674/SRR3263674_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/004/SRR3263674/SRR3263674_2.fastq.gz	
PRJNA315695	SAMN04568409	SRS1351470	SRX1648433	SRR3263675	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	118784967	20501881075	Illumina HiSeq 2000 sequencing; CD4+ Lymphocytes from peripheral blood 25yo individual (CD4-Y3)	Epigenomic analysis of lymphocytes and fibroblasts	ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/005/SRR3263675/SRR3263675.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/005/SRR3263675/SRR3263675_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/005/SRR3263675/SRR3263675_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/005/SRR3263675/SRR3263675.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/005/SRR3263675/SRR3263675_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/005/SRR3263675/SRR3263675_2.fastq.gz	
PRJNA315695	SAMN04568410	SRS1351471	SRX1648434	SRR3263676	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	117772662	20314209117	Illumina HiSeq 2000 sequencing; CD4+ Lymphocytes from peripheral blood 82yo individual (CD4-O1)	Epigenomic analysis of lymphocytes and fibroblasts	ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/006/SRR3263676/SRR3263676.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/006/SRR3263676/SRR3263676_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/006/SRR3263676/SRR3263676_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/006/SRR3263676/SRR3263676.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/006/SRR3263676/SRR3263676_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/006/SRR3263676/SRR3263676_2.fastq.gz	
PRJNA315695	SAMN04568411	SRS1351483	SRX1648565	SRR3264411	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	134733303	22913934871	Illumina HiSeq 2000 sequencing; CD4+ Lymphocytes from peripheral blood 82yo individual (CD4-O2)	Epigenomic analysis of lymphocytes and fibroblasts	ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/001/SRR3264411/SRR3264411.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/001/SRR3264411/SRR3264411_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/001/SRR3264411/SRR3264411_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/001/SRR3264411/SRR3264411.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/001/SRR3264411/SRR3264411_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/001/SRR3264411/SRR3264411_2.fastq.gz	
PRJNA315695	SAMN04568412	SRS1351484	SRX1648566	SRR3264412	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	109342020	18662555688	Illumina HiSeq 2000 sequencing; CD4+ Lymphocytes from peripheral blood 86yo individual (CD4-O3)	Epigenomic analysis of lymphocytes and fibroblasts	ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/002/SRR3264412/SRR3264412.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/002/SRR3264412/SRR3264412_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/002/SRR3264412/SRR3264412_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/002/SRR3264412/SRR3264412.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/002/SRR3264412/SRR3264412_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/002/SRR3264412/SRR3264412_2.fastq.gz	
PRJNA315695	SAMN04568402	SRS1351485	SRX1648568	SRR3264413	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	185140268	33834706626	Illumina HiSeq 2000 sequencing; Human neonatal foreskin fibroblasts in culture, passage 4	Epigenomic analysis of lymphocytes and fibroblasts	ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/003/SRR3264413/SRR3264413.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/003/SRR3264413/SRR3264413_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/003/SRR3264413/SRR3264413_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/003/SRR3264413/SRR3264413.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/003/SRR3264413/SRR3264413_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/003/SRR3264413/SRR3264413_2.fastq.gz	
PRJNA315695	SAMN04568403	SRS1351486	SRX1648569	SRR3264414	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	176103275	32175646903	Illumina HiSeq 2000 sequencing; Human neonatal foreskin fibroblasts in culture, passage 7	Epigenomic analysis of lymphocytes and fibroblasts	ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/004/SRR3264414/SRR3264414.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/004/SRR3264414/SRR3264414_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/004/SRR3264414/SRR3264414_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/004/SRR3264414/SRR3264414.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/004/SRR3264414/SRR3264414_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/004/SRR3264414/SRR3264414_2.fastq.gz	
PRJNA315695	SAMN04568404	SRS1351487	SRX1648570	SRR3264415	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	164954372	30154408983	Illumina HiSeq 2000 sequencing; Human neonatal foreskin fibroblasts in culture, passage 10	Epigenomic analysis of lymphocytes and fibroblasts	ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/005/SRR3264415/SRR3264415.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/005/SRR3264415/SRR3264415_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/005/SRR3264415/SRR3264415_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/005/SRR3264415/SRR3264415.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/005/SRR3264415/SRR3264415_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/005/SRR3264415/SRR3264415_2.fastq.gz	
PRJNA315695	SAMN04568405	SRS1351488	SRX1648571	SRR3264416	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	175615505	32103131753	Illumina HiSeq 2000 sequencing; Human neonatal foreskin fibroblasts in culture, passage 31	Epigenomic analysis of lymphocytes and fibroblasts	ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/006/SRR3264416/SRR3264416.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/006/SRR3264416/SRR3264416_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/006/SRR3264416/SRR3264416_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/006/SRR3264416/SRR3264416.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/006/SRR3264416/SRR3264416_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/006/SRR3264416/SRR3264416_2.fastq.gz	
