#	Gene	BLCA Freq	BRCA Freq	COADREAD Freq	GBM Freq	HNSC Freq	KIRC Freq	LAML Freq	LUAD Freq	LUSC Freq	OV Freq	UCEC Freq	Pancan12 Freq	pancan12 p-val	pancan12 FDR
1	TP53	50.00%	32.90%	58.60%	28.30%	69.80%	2.20%	7.50%	51.80%	79.30%	94.60%	27.80%	42.00%	0	0
2	PIK3CA	17.40%	33.60%	17.60%	11.00%	20.60%	2.90%	0.00%	4.40%	14.90%	0.60%	52.20%	17.80%	0	0
3	PTEN	3.10%	3.80%	1.00%	30.70%	1.30%	4.30%	0.00%	2.20%	8.10%	0.60%	63.50%	9.70%	0	0
4	APC	4.10%	0.50%	81.90%	0.30%	4.00%	1.40%	0.00%	9.20%	4.00%	2.20%	5.70%	7.30%	0	0
5	VHL	0.00%	0.00%	0.00%	0.00%	0.00%	52.30%	0.00%	0.00%	0.60%	0.00%	0.90%	6.90%	0	0
6	KRAS	0.00%	0.80%	45.10%	0.70%	0.30%	0.20%	4.00%	26.30%	1.20%	0.60%	20.00%	6.70%	0	0
7	MLL3	24.50%	6.40%	2.60%	3.10%	7.30%	3.60%	0.50%	18.40%	15.50%	1.90%	5.20%	6.60%	0	0
8	MLL2	25.50%	1.60%	1.60%	1.70%	17.90%	3.10%	0.50%	8.80%	20.10%	0.60%	8.30%	5.90%	0	0
9	ARID1A	27.60%	2.00%	5.70%	0.70%	3.00%	2.90%	0.50%	6.10%	6.30%	1.00%	30.00%	5.40%	0	0
10	PBRM1	6.10%	0.40%	0.00%	0.70%	2.30%	32.90%	0.00%	1.80%	3.50%	0.30%	2.60%	5.40%	0	0
11	NAV3	5.10%	1.40%	2.10%	1.00%	7.30%	1.40%	0.00%	21.50%	19.00%	1.30%	5.20%	4.60%	0	0
12	EGFR	1.00%	0.70%	1.60%	26.60%	4.70%	1.70%	1.00%	11.40%	2.90%	1.90%	1.30%	4.60%	0	0
13	NF1	7.10%	2.50%	1.00%	11.00%	2.70%	1.70%	1.00%	11.80%	10.30%	3.80%	3.50%	4.40%	0	0
14	PIK3R1	1.00%	2.50%	2.10%	11.40%	1.70%	0.50%	0.00%	1.30%	0.60%	0.30%	30.90%	4.40%	0	0
15	CDKN2A	4.10%	0.00%	0.50%	0.70%	21.30%	1.00%	0.00%	6.60%	14.90%	0.00%	0.40%	3.60%	0	0
16	GATA3	1.00%	10.60%	1.00%	0.00%	2.00%	0.00%	0.00%	2.60%	2.90%	0.30%	0.40%	3.20%	0	0
17	RB1	14.30%	1.80%	0.50%	8.30%	3.00%	0.20%	0.00%	5.30%	6.90%	1.90%	3.90%	3.20%	0	0
18	NOTCH1	5.10%	0.40%	0.00%	0.00%	19.30%	1.00%	0.50%	3.10%	8.10%	0.60%	1.70%	3.10%	0	0
19	FBXW7	9.20%	0.80%	11.40%	0.30%	5.00%	0.20%	0.00%	1.30%	5.20%	1.00%	11.70%	3.00%	0	0
20	CTNNB1	2.00%	0.10%	4.70%	0.30%	0.70%	0.20%	0.00%	3.50%	1.70%	0.60%	28.30%	2.90%	0	0
21	DNMT3A	0.00%	0.50%	1.00%	0.00%	1.70%	1.20%	25.50%	4.00%	4.00%	1.00%	1.30%	2.80%	0	0
22	MAP3K1	3.10%	7.20%	0.00%	2.10%	1.00%	1.20%	0.00%	1.80%	1.70%	0.30%	3.50%	2.70%	0	0
23	FLT3	2.00%	0.40%	0.00%	1.70%	0.70%	0.50%	26.50%	4.00%	4.00%	1.00%	0.90%	2.70%	0	0
24	MALAT1	15.30%	1.10%	0.00%	0.00%	6.30%	1.90%	0.00%	9.70%	5.80%	1.00%	0.00%	2.70%	0	0
25	TSHZ3	2.00%	0.70%	3.10%	0.70%	1.30%	1.20%	0.50%	14.90%	6.30%	1.00%	3.90%	2.60%	0	0
26	KEAP1	3.10%	0.10%	0.00%	0.00%	4.00%	0.50%	0.00%	17.10%	12.10%	0.30%	1.30%	2.60%	0	0
27	CDH1	5.10%	7.00%	0.50%	0.30%	1.30%	0.50%	0.00%	1.30%	1.70%	0.30%	3.00%	2.50%	0	0
28	ARHGAP35	5.10%	0.90%	0.50%	0.70%	3.70%	1.20%	0.50%	4.00%	5.80%	1.60%	10.00%	2.50%	0	0
29	CTCF	2.00%	2.40%	1.60%	0.00%	3.30%	0.50%	0.50%	1.30%	0.00%	0.30%	16.50%	2.40%	0	0
30	NFE2L2	9.20%	0.10%	0.00%	0.00%	5.30%	1.20%	0.00%	2.20%	14.90%	0.00%	5.20%	2.30%	0	0
31	SETBP1	2.00%	0.40%	1.60%	1.40%	3.00%	1.40%	1.00%	12.70%	5.20%	0.00%	2.20%	2.20%	0	0
32	BAP1	4.10%	0.30%	0.00%	0.70%	1.00%	10.10%	0.00%	1.30%	0.60%	0.60%	2.20%	2.00%	0	0
33	NPM1	0.00%	0.00%	0.00%	0.30%	0.30%	0.00%	27.00%	0.90%	0.00%	0.00%	0.40%	1.80%	0	0
