	Estimate	Std. Error	t value	Pr(>|t|)	idx	beta	pval	cilb	ciub	i2	tau2	Symbol	coef	exp(coef)	se(coef)	z	Pr(>|z|)
ENSG00000127564.15	0.119694489708728	0.00859957508303596	13.9186516255721	1.01782629096718e-34	110	2.76921349380575	1.10269786567984e-29	2.28954649902054	3.24888048859096	96.1556344103586	1.1944206800276	PKMYT1	0.999950415760169	2.71814704786246	0.325024872063612	3.0765350645672	0.00209421669754858
ENSG00000109805.8	0.084614404767265	0.0108474365078264	7.80040562636308	8.93213739053082e-14	156	2.64258373434563	3.89813555234857e-17	2.02715878437046	3.25800868432079	98.0045271955996	2.08144528507763	NCAPG	1.01492163015656	2.7591471549724	0.330803703881674	3.06804796393572	0.0021546203224264
ENSG00000085999.10	0.118418894250159	0.0132373295022929	8.94582961235849	3.11282017033241e-17	500	2.27621217527604	7.28202761181619e-16	1.72309260308178	2.82933174747031	98.0341848333568	1.63832625318509	RAD54L	0.88381223547944	2.42010816506946	0.324251915775806	2.72569626416802	0.00641660154996455
ENSG00000160949.15	0.146688190591649	0.0206232995791888	7.11274110277064	7.56405855312456e-12	805	1.35134739408073	2.20219343988682e-15	1.01732533548871	1.68536945267276	98.3583962176322	0.629863087509277	TONSL	0.980064272278631	2.66462749810685	0.325212809361378	3.013609070944	0.00258160224905679
ENSG00000117650.11	0.0818398230808007	0.00934354693030284	8.7589674126192	1.19301838879714e-16	1087	2.84645485181449	4.63318582396444e-19	2.22106174672996	3.47184795689901	97.3825774353817	2.11795537155562	NEK2	1.27798341574742	3.5893941066924	0.348381460764715	3.66834507479871	0.00024412555099872
ENSG00000168078.8	0.070091739009638	0.0096166149438679	7.28860824923977	2.49541304949245e-12	1160	2.74949285758073	1.97517466689234e-14	2.04526622092747	3.45371949423399	97.6342423251211	2.65680027954731	PBK	1.08685253911208	2.96492737814338	0.330917569393066	3.28436033512959	0.00102214145363014
ENSG00000169684.12	0.0612676683967043	0.00907694132863246	6.74981430181117	7.02567580580575e-11	1203	1.50012172405388	6.88046029260265e-12	1.07153064689385	1.9287128012139	96.4355136765716	0.933469442679362	CHRNA5	1.08895173287312	2.9711578724169	0.321541634916508	3.38665856804477	0.000707493776113264
ENSG00000139618.13	0.115749801253164	0.015640679114853	7.40056108837649	1.22011635606172e-12	1303	1.44056064572077	4.01718745133764e-16	1.09361641820397	1.78750487323757	96.9700094468359	0.646775561368253	BRCA2	1.01507837207458	2.75957966288474	0.324898185640105	3.12429683186658	0.00178230558218872
ENSG00000126787.11	0.087281018022301	0.00915214820937013	9.53667008287094	4.00749019222824e-19	1581	2.92777335162189	1.66655082512055e-15	2.20723362692073	3.64831307632305	97.9743700985326	2.81778955074672	DLGAP5	1.36455906310386	3.91399684582601	0.360820667465618	3.78182068307906	0.000155685496351708
ENSG00000112742.8	0.0800258810186255	0.0118604021401886	6.74731599086848	7.13226215846401e-11	1778	2.41925695535574	8.54614154469056e-15	1.80815637324529	3.03035753746619	98.1183420642356	2.05559129806565	TTK	1.1481394597424	3.15232242746773	0.339442370361236	3.38242824111955	0.000718480459858185
ENSG00000131747.13	0.0830559209673069	0.00871123358352056	9.5343466767356	4.07788405037068e-19	2711	2.88347588622268	2.18886138609945e-16	2.19521227616569	3.57173949627966	98.2625074802646	2.66121179461265	TOP2A	1.38216173612482	3.98350361019407	0.359952961017364	3.83983988412905	0.000123114578211667
ENSG00000154839.8	0.0844717964610465	0.0106201506976867	7.95391693259553	3.19675304961876e-14	2788	2.57114511557337	2.09382163550638e-14	1.91195231329692	3.23033791784982	98.258898357498	2.42984608999464	SKA1	1.35766459112004	3.88710471427502	0.34989330048237	3.88022459775118	0.000104360051975993
ENSG00000136492.7	0.0861157950986646	0.011955872189955	7.20280325269928	4.29660401807809e-12	2888	1.82357960680848	3.12957614097459e-13	1.33321097618872	2.31394823742823	97.9658094552066	1.35477188024706	BRIP1	1.02336701340123	2.7825478851047	0.330899540656428	3.09268187973638	0.00198356642426733
ENSG00000024526.15	0.0687381990116975	0.00945277583588734	7.27174749566512	2.77756057891974e-12	2950	2.51522361457411	5.64405745398089e-14	1.85933065236402	3.17111657678421	97.5212787404813	2.34331146137578	DEPDC1	0.954484442720118	2.59733116468556	0.325603328064686	2.93143331302344	0.00337401797663551
ENSG00000051341.12	0.0998472528284712	0.0105247233831362	9.48692418733371	5.81531819422055e-19	3082	2.39362027948115	4.81421628004271e-15	1.79458993885613	2.99265062010618	97.8507268776111	2.010200109267	POLQ	0.868987861036484	2.38449619024052	0.324318982961564	2.67942336616007	0.00737490823385279
ENSG00000115163.13	0.0833891632375403	0.00752282736915589	11.0848168043097	2.31424001709672e-24	3172	2.96784115750368	1.03874150303766e-20	2.34451811483056	3.5911642001768	97.0760662365881	2.04284039229754	CENPA	1.40540283016922	4.07716881711103	0.360092984877479	3.90288866817944	9.50514308107895e-05
ENSG00000070814.16	0.305299695790527	0.029320625829558	10.412454957996	4.8497807511212e-22	3338	0.668741765856748	1.8697329811549e-13	0.490602822208033	0.846880709505464	96.9472382350851	0.17014324114788	TCOF1	0.975336169261806	2.65205860172754	0.324031130739686	3.01000760956315	0.00261241144611557
ENSG00000094804.8	0.12023082870522	0.0099522635715934	12.0807520661323	6.5526671452887e-28	3577	2.28185000706936	8.06365660782329e-16	1.72650223659079	2.83719777754794	98.2218191747252	1.71649198133422	CDC6	0.972994999278393	2.64585694413487	0.324315491305517	3.00014962394071	0.00269847013962426
ENSG00000117724.11	0.0775591818963824	0.0104285474951882	7.43719889391777	9.63862528502318e-13	3744	2.48376596217507	1.29692356178236e-19	1.94648668743244	3.0210452369177	97.6154593541964	1.58626001908912	CENPF	1.25256722262414	3.49931495650012	0.348764885218039	3.59143731411226	0.000328859281582241
ENSG00000088325.14	0.097514098214504	0.0101150793313569	9.64046796076121	1.83664099650252e-19	4201	2.62864973837321	1.33758325545784e-23	2.11410815951264	3.14319131723378	97.5150718782902	1.42570257976733	TPX2	1.16079360912347	3.19246584106777	0.338796901314413	3.4262226266533	0.000612038512367586
ENSG00000154920.13	0.128295715006268	0.0111534190120226	11.502814954587	7.76204765941797e-26	5102	2.05195880240816	2.05558698118133e-18	1.59254892430526	2.51136868051105	98.092690904553	1.16636117422853	EME1	0.823114617565137	2.27758260053132	0.314897921315314	2.61390933965847	0.00895127853784356
ENSG00000080986.11	0.0832231749238902	0.0123845363314031	6.71992658399842	8.41016947478734e-11	5154	2.13531067003705	1.35385234604481e-12	1.54491516752	2.72570617255409	98.3257780089822	1.95301542221006	NDC80	0.885312338726491	2.4237413015447	0.324233852645843	2.73047472218611	0.00632431829265932
ENSG00000153044.8	0.197863725309268	0.0164657213395031	12.0167055684691	1.11703433187796e-27	5195	1.35591077442846	1.51886243691712e-20	1.06989800261379	1.64192354624312	97.8313037967273	0.433976118620073	CENPH	0.84426787765029	2.32627407373203	0.311870849750473	2.70710737578003	0.00678723009843837
ENSG00000165795.19	-0.136980277478594	0.0159563753644626	-8.58467379651092	4.1148453766338e-16	5497	-1.511818651364	1.46592438495488e-17	-1.85920168214638	-1.16443562058163	98.4585777238195	0.680418393505351	NDRG2	-0.867201122179519	0.420125785952666	0.324232919357632	-2.67462392127737	0.00748131214254096
ENSG00000141378.14	0.173605746014567	0.0220086176491158	7.88808042296747	4.97480813447859e-14	5510	0.580899044179701	3.56360638811805e-17	0.44578360947229	0.716014478887113	94.2876678804474	0.0910747452342821	PTRH2	0.917097016560931	2.50201652455413	0.330684436967767	2.77332983968134	0.00554858497696033
ENSG00000176619.9	0.267829295263437	0.0292984081751262	9.14142821898491	7.49615186386753e-18	5580	1.04881350101947	2.12390842018215e-16	0.798579935547637	1.29904706649131	98.0484266116254	0.344319306726196	LMNB2	0.916858264231233	2.50141923358509	0.319507101433717	2.86960214692267	0.00410988561062767
ENSG00000161888.10	0.11687600782286	0.0106735848940255	10.9500237252323	6.83833555977915e-24	5929	2.22009388309662	9.1292765499942e-24	1.78715494302483	2.65303282316842	96.953772139766	0.98007274947438	SPC24	0.868345454402554	2.38296486598842	0.331046232475632	2.62303379171208	0.00871506282606912
ENSG00000166851.13	0.122964290216765	0.0119126456499738	10.3221646836306	9.82463399488486e-22	6237	2.39944317628019	7.56206478598466e-21	1.89730523781041	2.90158111474997	97.9925582477488	1.38313343221213	PLK1	1.155121037466	3.17440761652986	0.338870087718094	3.40874299423839	0.000652629328428087
ENSG00000076555.14	-0.133677149925238	0.0177361012019439	-7.53700874860744	5.05100434431434e-13	7119	-1.67182413351073	6.76213613586207e-17	-2.06419269352109	-1.27945557350036	97.8863995638629	0.839403976991593	ACACB	-1.06791236014505	0.343725343647417	0.362133697071198	-2.9489450133526	0.00318860703029673
ENSG00000189057.9	0.0974919213072403	0.00942415822249092	10.3448943667535	8.22724559177875e-22	7370	2.56692982391193	5.01378269637346e-19	2.00239749773132	3.13146215009254	97.0221836092328	1.73753292390971	FAM111B	1.048403540969	2.85309263481234	0.331296349726693	3.16454902637441	0.00155323491723814
ENSG00000196584.2	0.0901296393713597	0.0124066872905492	7.26460152179512	2.90641837955347e-12	7590	2.06035001590095	8.10293913568618e-24	1.65903159012076	2.46166844168114	97.6179277673749	0.874081189927701	XRCC2	1.22062773657701	3.38931466276068	0.341373675920784	3.57563521347866	0.000349378541103112
ENSG00000171848.12	0.0849677124349072	0.0100716583338018	8.43631799440062	1.16662475845215e-15	7702	2.61918091387281	3.97287786967491e-13	1.91174440233087	3.32661742541475	98.1785874815733	2.75681456682377	RRM2	1.31366141354464	3.71976841957421	0.359956972158691	3.64949567629293	0.000262755662176449
ENSG00000162073.12	0.137601938263012	0.0120354363763104	11.4330659861953	1.37263487218022e-25	8958	1.68110515321761	2.51949116309701e-18	1.30373439788358	2.05847590855164	97.6477813006373	0.779382181718035	PAQR4	1.17212444815453	3.22884487087236	0.34861545651423	3.36222742351841	0.00077316416973461
ENSG00000090447.10	0.168269317350826	0.0228830372871135	7.35345204570316	1.65024816952543e-12	9257	0.815969105192515	9.11340936759451e-12	0.581466954089991	1.05047125629504	96.1964405328775	0.287495158620143	TFAP4	1.13787497969738	3.12013097372207	0.360444463876212	3.15686629629624	0.00159474450946784
ENSG00000090889.11	0.0799879123354178	0.0109463950385455	7.3072378672391	2.21643871813214e-12	9298	2.80235781326284	1.18526054510447e-23	2.25446789319419	3.35024773333149	97.46773892728	1.62432961065085	KIF4A	1.07856005691117	2.94044243143484	0.338968154328386	3.1818919952766	0.00146316370979905
ENSG00000013810.17	0.142208080754296	0.0162607906805394	8.74545915682238	1.31385974230349e-16	9325	1.57538200611988	4.26021304752223e-16	1.19563537322274	1.95512863901702	98.0211441633222	0.776401140646957	TACC3	1.11712153051193	3.05604479886695	0.331216411382266	3.37278435524931	0.000744122064993029
