Gene	BLCA	BRCA	COAD	GBM	HNSC	KIRC	LAML	LUAD	LUSC	OV	READ	UCEC	SumNonZero
ZNF471	0	1	0.86506	0	1	1	0.17526	1	1	0	0.87037	0.352	9
CDO1	1	0.80831	1	0	1	0	0	1	1	1	0	1	8
NUPR1	0	0.38019	1	0	1	0	0	1	1	0.51541	1	1	8
PTPN20B	0	1	1	0	1	0	0.30412	1	1	0	1	1	8
HSPA2	1	0	0	1	0.3	0	0	1	1	0	1	1	7
IFFO1	1	1	1	0	0	0	0	1	1	0	1	1	7
PCDHB5	0	0.58786	0	0.26866	0.65806	1	0	1	1	0.55822	0	0	7
ZNF597	1	1	0	0	0	0	1	1	1	0	0.93827	1	7
C20orf151	1	1	0	0	0	0.942	0	1	1	0	0	1	6
CBLC	1	1	0	0	0	0	0	1	1	1	0	1	6
ZSCAN12	1	0	0	0	0.70323	0.466	0	1	0.45251	0	1	1	7
ZNF300	0	1	0.82169	0	0	1	0	1	0.18156	0.21747	0.71605	0.488	8
C3orf14	0	0.12141	0.66506	0	0.24516	0.156	0	1	0.12291	0	0	0.494	7
CCDC106	0	0	1	0	1	0.16	0	1	0	0	1	0.078	6
HIST1H2BH	0.30081	0.28115	0.2988	0	0.058065	0	0.097938	0.92326	0.2095	0	0	0.312	8
NPTX2	0	1	0.80482	0	1	0	0	0.81628	1	0	0.77778	1	7
HOXB4	0.10569	1	0.19036	0	0.69355	0	0.26804	0.8	0.71229	0	0.24691	0.106	9
VAMP5	0.70732	1	0	0	0.69032	0	0.59794	0.77209	0.74581	0	0	1	7
HIST1H3G	0.30081	0.5623	0.2	0	0.10645	0	0.34021	0.66977	0.2905	0	0.1358	0.444	9
ZNF667	0	1	0	0	0.95484	1	0.41237	0.65116	0.63687	0	0	0.44	7
ZNF577	0	1	0.50843	0.45771	0	0.602	0.28866	0.63721	0	0.25685	0	0.316	8
KLHL3	0	0.47604	0.51807	0	1	0.584	0	0.62093	0.32961	0	1	0.156	8
XKR6	0	1	0.6241	0	0.2	0.306	0.81443	0.57209	0.2486	0	0	0.496	8
ZNF135	0	0.34185	0.96867	0.33582	0.94194	0.436	0	0.54651	1	0.066781	0.97531	0.532	10
ZNF132	0.34959	1	0	0	1	0	0	0.53488	1	0.22774	0	1	7
PKIA	0.23577	0.6262	0.66747	0	0.51613	0	0.18557	0.52558	0.35475	0.42466	1	0	9
SMO	0.47154	0.4377	0.39518	0	0.33226	0	0	0.51395	0.27933	0.29281	0.46914	0.086	9
ZNF329	0.25203	0	0.30602	0	0.44839	0.112	0	0.5	0.35196	0	0.22222	0	7
ZNF660	0.55285	0	0.83373	0	0.82581	0	0	0.49302	0.31564	0	0.7963	0.314	7
ZNF354C	0.43902	0.46645	0.86988	0	0.62581	1	0.65464	0.48837	0.26816	0	0.7284	1	10
ZNF134	0	1	0.93012	0	0.72581	0.35	0	0.45116	0.3324	0	0.46914	0.228	8
ZNF415	0	0.13099	0.8	0.13184	1	0.328	0.27835	0.44651	0.47486	0	0.70988	0.138	10
MPV17L	0.22764	0.13738	0.38795	0	0.46452	0	0	0.44186	0.18436	0	0.40741	0.362	8
ZNF502	0	1	0.28916	0	0.2871	0.214	0	0.43721	0.24022	0.18836	0.08642	0.638	9
CMBL	0	0.092652	0.2241	0	0	0	0	0.42558	0.036313	0.45548	0.21605	0.24	7
