mean.A	mean.B	delta	Pvalue.ttest	p.adjust.BH	Pvalue.wilcox	a.shapiro.pvalue	b.shapiro.pvalue
?|100130426	0.0121353342421447	0.00436589208729233	0.00776944215485236	0.142050627085631	0.17073184783369	0.83863593437948	8.82717322215707e-58	1.64187786060229e-23
?|100133144	8.64218377636849	8.95566258781153	-0.313478811443035	0.643352209381634	0.676140680478783	0.401359941305535	6.3392066520595e-35	1.0578056206519e-05
?|100134869	7.84722248571033	6.22872856412291	1.61849392158741	0.000254963460256246	0.000401030782388799	0.00786569903217345	1.30625303638929e-31	4.83306705973974e-06
?|10357	116.071489113088	89.9404923096333	26.1309968034542	2.35147710207336e-23	1.03779398930929e-22	2.94498233846371e-07	9.2465927381306e-40	0.577494050529253
?|10431	1091.39096676961	715.785430078899	375.605536690708	3.56937584046767e-45	3.88562329695874e-44	5.50648602623489e-30	7.57316629939834e-34	5.56011679916456e-09
?|136542	9.98667433922624e-05	9.28575041752109e-05	7.00923921705152e-06	0.487031910251443	0.525474389057353	0.295846209468303	0.935428945662812	0.201982857596099
?|155060	233.475280742863	205.876956991879	27.5983237509838	0.00873042060605485	0.0121266670362568	0.347787212279388	4.05262142250647e-37	0.00102551232144237
?|26823	0.512882068654419	0.648363313183755	-0.135481244529336	0.0842698682065004	0.104933567694545	0.252764040883875	1.2762082771882e-34	4.13970111339857e-12
?|280660	0.138840623911381	0.0107422512212037	0.128098372690177	0.046718095235783	0.0601548581552751	0.0869316247798676	7.69051557814405e-59	4.51512079013503e-23
?|317712	0.0258398916479857	0.000109532439889847	0.0257303592080958	0.128526311254137	0.155450585941601	0.330332957190578	3.90362276019409e-59	0.395438614095461
?|340602	7.70292051225194	0.475859119440494	7.22706139281145	0.118762770992938	0.144398818622291	0.153204843528967	3.99048399031783e-59	9.53135026234361e-15
?|388795	1.58219102658723	1.65447069404934	-0.0722796674621198	0.793330069994744	0.815779809028453	0.423483063876552	4.92569545213716e-43	1.03944134132153e-18
?|390284	6.05957633312969	6.8474358370982	-0.787859503968509	0.0189043460848125	0.0254208232556514	0.00672471965780416	6.78887235345468e-29	2.84864618689724e-05
?|391343	0.573966710424739	0.547825207563716	0.0261415028610232	0.787854156519172	0.810636147514038	0.00465919013357882	1.17527770896533e-53	5.98817565731322e-14
?|391714	0.198335628734525	0.398964540142858	-0.200628911408333	0.000128241174703616	0.000206503494732544	1.15144276389174e-05	5.08156740219394e-44	6.67996523690406e-12
?|404770	0.00311483041722879	0.000104264959641456	0.00301056545758733	0.0171749663430246	0.0232016866685509	0.415976458611573	1.04365820948845e-58	0.48411800983674
?|441362	0.00239614814249069	0.000102814081673172	0.00229333406081752	0.0772035022015784	0.096673890198866	0.957310045529794	5.18440688937027e-59	0.474151711867432
?|442388	0.0130141453160608	0.0120156348239903	0.000998510492070535	0.897616725003241	0.910477198806459	0.955504899599707	5.82506752445084e-58	1.25711151752889e-22
?|553137	3.23072937269308	1.204631817231	2.02609755546208	3.00474892500043e-07	5.76385127339848e-07	0.20419275199524	2.80910671599229e-54	9.57943308182709e-15
?|57714	884.439030280765	612.537920971655	271.90110930911	9.92846577900273e-13	2.54356539691421e-12	0.0484697302330153	7.10937327066984e-36	0.125877521666976
?|645851	12.8537058285987	10.6188113163688	2.23489451222997	0.000837835965493155	0.00126799426563025	0.649210726161695	8.78275475014048e-41	0.00860074067125176
?|652919	21.4990951919097	45.3108767678935	-23.8117815759838	3.90564575694971e-07	7.43864534929513e-07	1.92121169855611e-07	8.98398818835157e-40	2.61516128325088e-08
?|653553	473.384683981261	163.311896602777	310.072787378484	8.07923854613271e-36	6.28551900684542e-35	1.08208124448588e-21	4.16643825238631e-47	4.03988731920738e-16
?|728045	0.000542172384879358	9.90799255070247e-05	0.000443092459372334	0.308899025781625	0.348768472191077	0.437727850838795	2.60645966026456e-59	0.323243044152265
?|728603	0.0979473395586786	0.282357668470532	-0.184410328911854	0.0832458139744114	0.1037213136733	0.480667357343991	1.1422300140732e-56	4.6110814589412e-21
?|728788	0.451742746103512	1.58487703924824	-1.13313429314473	3.71578920038186e-10	8.37143290607264e-10	8.88005019628166e-24	1.46951030176323e-55	2.58012966395493e-10
?|729884	40.8950070572659	22.6308284837426	18.2641785735233	0.15018473957701	0.179782105314885	0.00209724727002183	3.1438883740971e-58	5.34260261611572e-20
?|8225	540.155741854711	454.114281811549	86.041460043162	1.99645320303481e-05	3.40356893726711e-05	0.0498403831079781	2.61414009224904e-35	7.55681205058594e-08
?|90288	50.7471520459837	22.6251548035316	28.1219972424521	2.20813765436723e-33	1.55470761940376e-32	0.000615357256391526	2.58654876468028e-40	4.21613337569313e-06
A1BG|1	193.76014451646	73.1656707058305	120.594473810629	4.81303198200429e-49	6.0143858565143e-48	3.98504832860804e-26	2.43632483968173e-43	5.45303727688895e-10
A1CF|29974	0.115107631055265	0.300728973944561	-0.185621342889297	0.247463829379669	0.284985026328344	0.677575442630739	1.53829621937842e-53	1.33679624202155e-22
A2BP1|54715	1.62016938965932	25.8513807000788	-24.2312113104195	0.322006097828916	0.360907697048012	1.36657990299421e-10	1.68804628862078e-56	1.71858999994581e-23
A2LD1|87769	95.5272308332018	86.0379145480366	9.48931628516522	0.000402573948351942	0.0006245462999557	0.960018172075138	3.58941573094827e-31	0.000268409596739599
A2ML1|144568	279.579879407818	17.4655928429492	262.114286564868	4.29338566765388e-12	1.06610822310532e-11	0.00011534156036433	3.89569862039733e-55	7.45371834337342e-20
A2M|2	14941.6266937617	32139.87185887	-17198.2451651082	5.29632071133408e-46	5.9387635458438e-45	1.13640003655313e-50	7.38840774407339e-49	0.0454775819500839
A4GALT|53947	353.665491745787	401.568389392593	-47.9028976468058	0.056012428760193	0.0714679743257425	0.000265232188658105	1.66910273310331e-40	4.36682860564186e-09
A4GNT|51146	0.760147754003644	2.06960235475922	-1.30945460075557	2.10142602571651e-06	3.82146835553461e-06	1.2901651055054e-13	1.77125189002917e-40	1.01740868594284e-15
AAA1|404744	0.101385356829378	0.0682084986989833	0.0331768581303944	0.45804693429455	0.496969910056619	0.545764942706033	8.43553190724871e-59	2.29431202438689e-19
AAAS|8086	724.216521414605	608.843226139953	115.373295274652	1.46831289243798e-16	4.6264475129902e-16	1.01050790884845e-09	1.84156447648979e-18	1.80063821654644e-05
AACSL|729522	3.71529711001713	0.30753326189868	3.40776384811845	0.000434085955341132	0.000671707774277116	0.00216804723288058	4.16313341148454e-58	1.27095324917041e-15
AACS|65985	1135.35719849533	1572.93523087508	-437.57803237975	0.0235045514352959	0.0312870815299572	0.00503517726743377	2.55234759168162e-48	3.17981860603025e-19
AADACL2|344752	0.581929274598583	3.11725603898537	-2.53532676438678	8.92673257615058e-07	1.66145178606606e-06	1.55918138248195e-36	1.03077518727507e-58	1.37862520509516e-14
AADACL3|126767	0.427062309450269	4.16495688832472	-3.73789457887445	0.000179471369560755	0.000285637727786966	4.07182323570125e-22	4.17679144921739e-58	4.20319774139334e-19
AADACL4|343066	0.0365959223294651	0.257172091034161	-0.220576168704696	3.67475173788993e-05	6.15838118770861e-05	4.109897453302e-08	4.92729031648342e-55	3.94582843411923e-17
AADAC|13	4.97267197320402	109.849148035915	-104.876476062711	3.75812773071324e-09	8.00810798539423e-09	4.35118088731172e-35	3.67440494600851e-57	2.09931140809618e-14
AADAT|51166	89.8729342547325	88.1164354594886	1.75649879524383	0.820399361537538	0.840499964657045	6.31092174864562e-12	1.75133804991391e-51	1.7552069523061e-16
AAGAB|79719	1694.18379979484	1002.00433108339	692.179468711454	3.22736551337554e-68	7.67798856953803e-67	1.62795711481983e-36	1.25932316782443e-29	0.454629616102719
AAK1|22848	930.556301513343	1132.08969452159	-201.53339300825	2.11253681721902e-11	5.06214908897336e-11	3.42416536123639e-12	1.14191281778797e-15	0.00173344999000488
AAMP|14	2497.9109927075	1950.83138819768	547.079604509819	4.92258324175063e-17	1.59359124150713e-16	3.76403456426119e-14	6.30227867479554e-19	0.00119868647805284
AANAT|15	0.479120776845165	0.264206765718303	0.214914011126862	0.000790051772919731	0.00119876971028121	0.00794537548555988	8.8800757722128e-56	2.39401472947589e-15
AARS2|57505	476.167802755757	387.40236292694	88.7654398288177	3.50067716519372e-10	7.89546335038913e-10	3.090502973119e-06	4.20918509741515e-33	0.157257970809634
AARSD1|80755	548.791499786006	495.034194585833	53.7573052001723	0.0417724785702255	0.0541365204851218	0.0817859901213445	1.57123597618169e-35	1.81882820038567e-18
AARS|16	3287.75468698719	2614.58750395842	673.167183028761	8.73787271592874e-20	3.24466024110568e-19	0.035347069816862	2.10951369349502e-31	0.129476962062986
AASDHPPT|60496	887.746184488495	842.683826031648	45.0623584568473	0.0319039812602548	0.0418971881319106	0.772449403789474	4.07613325438283e-32	7.40880289650656e-06
AASDH|132949	312.764908861725	416.858442058613	-104.093533196888	1.03298457179644e-16	3.28249593616356e-16	2.86806594870557e-20	1.92634175545852e-29	0.00614801618828335
AASS|10157	211.704459931017	732.041600684273	-520.337140753255	5.08913719639194e-30	3.06228240853233e-29	1.59370035811446e-58	6.67021837730883e-28	8.55858870280431e-12
AATF|26574	1354.8845597099	902.11593821035	452.768621499555	4.41653836287006e-39	3.8883340106383e-38	4.1216213933046e-24	1.25027109629852e-47	0.0051411716201816
AATK|9625	92.353046994599	51.4676483056752	40.8853986889238	4.17754800417257e-18	1.42829705368305e-17	0.221771338305419	6.34509650049348e-45	2.44883096120073e-05
ABAT|18	1441.39877202642	619.51438839909	821.884383627332	7.44739108557526e-41	6.98503363992442e-40	1.09296364095906e-05	1.92654752677418e-35	1.13783508447439e-06
ABCA10|10349	25.2339996613519	348.39421315011	-323.160213488758	4.83840390123249e-37	3.95608405002805e-36	1.64410660561602e-65	8.54434470776693e-45	0.0247509968547101
ABCA11P|79963	111.809168348623	135.341100072894	-23.5319317242717	1.67649765575731e-08	3.45168204676629e-08	7.29419458520327e-10	2.02582827326593e-22	0.377241161756359
ABCA12|26154	545.85243140268	230.55946879533	315.29296260735	5.15273053468598e-05	8.5383947221661e-05	1.36843107876893e-06	2.1478946262131e-48	1.41398409402096e-20
ABCA13|154664	43.1202976475456	28.70727852153	14.4130191260156	0.0458188513876091	0.0590710730197176	1.17495875025328e-15	1.4577805336976e-55	2.87709627873983e-14
ABCA17P|650655	16.5343536054987	6.52765720564099	10.0066963998577	5.73382536704018e-29	3.30121056115261e-28	2.0843098500994e-10	7.26927281150974e-49	4.02785731134139e-05
ABCA1|19	859.924949484259	2237.55615024932	-1377.63120076506	6.45752914893535e-15	1.86364254929423e-14	1.88364440577757e-28	1.12274958489847e-28	3.30281777760305e-08
ABCA2|20	1455.92016257001	1377.35950774831	78.5606548216983	0.0696325649834457	0.0877394250445025	0.214572199121257	1.57982989800752e-30	0.681887831501151
ABCA3|21	2314.07818840565	1181.99282109988	1132.08536730577	1.87612566201499e-34	1.37616062761092e-33	1.74373877949738e-15	4.15091556802288e-36	6.09045585467077e-16
ABCA4|24	90.5681341781044	66.0261119337233	24.5420222443811	0.0070127343617077	0.00983325018305018	8.04216342135873e-07	5.43878460563175e-52	1.85744471506235e-13
ABCA5|23461	324.097462669611	1010.84142162048	-686.743958950871	9.93734525117965e-42	9.62375638452686e-41	1.08585735399128e-57	1.03863887548636e-34	0.00056124995357615
ABCA6|23460	108.674566988611	789.662810454982	-680.98824346637	1.13433019181295e-26	5.83682535541644e-26	2.25365556439524e-59	1.81151565172177e-35	1.18832969894252e-06
ABCA7|10347	361.020259080086	268.51285673595	92.5074023441362	4.52000207601202e-14	1.25017058632093e-13	0.00166288867871724	2.12890635176587e-29	0.000303155322306679
ABCA8|10351	142.680437732738	2265.38447922528	-2122.70404149254	2.14955879650394e-21	8.66364186317677e-21	1.84229003861663e-62	1.64015039826466e-42	2.83222397050158e-09
ABCA9|10350	88.3340368712685	1244.25325016595	-1155.91921329468	6.77357365267688e-23	2.9209880416532e-22	4.89276043651742e-63	1.5287230499276e-40	3.19594204587216e-09
ABCB10|23456	562.212287891532	449.111824296925	113.100463594607	1.71794476080103e-18	5.98322712196877e-18	6.40708239191524e-07	5.28391616531321e-19	0.0145628289062156
ABCB11|8647	2.13733212115245	9.54356158493222	-7.40622946377977	0.000200230620528489	0.000317839405448462	8.07115303779439e-23	4.24584964493795e-57	2.19376647266856e-18
ABCB1|5243	91.8940784031677	414.834191294811	-322.940112891643	4.60472961140415e-30	2.7740523371989e-29	3.3231329818091e-52	1.3375640797353e-37	0.00754543266902171
ABCB4|5244	31.2984630280392	24.8017889012587	6.49667412678049	0.025289877202395	0.0335460956740129	0.000107835842424403	1.81908611277375e-43	2.2211295831792e-19
ABCB5|340273	8.31073710974756	115.006903075568	-106.69616596582	2.06638133796821e-20	7.90623839914746e-20	2.35265486280483e-58	8.10585715592347e-52	1.93727170857705e-08
ABCB6|10058	572.914530464435	516.845932162021	56.0685983024146	0.0125329533789774	0.0171611355091226	0.793989779750638	5.55829529157833e-35	3.6101709198503e-08
ABCB7|22	452.722173141607	556.982774240165	-104.260601098558	4.98834894556303e-17	1.61386372835415e-16	1.11981461164168e-18	1.03779613624014e-10	4.49545863608319e-10
ABCB8|11194	756.274353909013	378.919756110192	377.354597798821	1.96073509481685e-75	5.80055507661162e-74	2.47507099593236e-43	1.5016131503656e-24	0.00196943246562476
