0	d	Dnd41+Broad+CTCF	n/a	n/a	n/a	3	n/a,n/a/,Dnd41+Broad+CTCF,
1	d	Dnd41+Broad+EZH2_(39875)	n/a	n/a	n/a	3	n/a,n/a/,Dnd41+Broad+EZH2_(39875),
2	G	GM12878+Broad+CTCF	n/a	n/a	n/a	3	n/a,n/a/,GM12878+Broad+CTCF,
3	G	GM12878+Broad+EZH2_(39875)	n/a	n/a	n/a	3	n/a,n/a/,GM12878+Broad+EZH2_(39875),
4	1	H1-hESC+Broad+CHD1_(A301-218A)	n/a	n/a	n/a	3	n/a,n/a/,H1-hESC+Broad+CHD1_(A301-218A),
5	1	H1-hESC+Broad+CTCF	n/a	n/a	n/a	3	n/a,n/a/,H1-hESC+Broad+CTCF,
6	1	H1-hESC+Broad+EZH2_(39875)	n/a	n/a	n/a	3	n/a,n/a/,H1-hESC+Broad+EZH2_(39875),
7	1	H1-hESC+Broad+JARID1A_(ab26049)	n/a	n/a	n/a	3	n/a,n/a/,H1-hESC+Broad+JARID1A_(ab26049),
8	1	H1-hESC+Broad+RBBP5_(A300-109A)	n/a	n/a	n/a	3	n/a,n/a/,H1-hESC+Broad+RBBP5_(A300-109A),
9	H	HeLa-S3+Broad+CTCF	n/a	n/a	n/a	3	n/a,n/a/,HeLa-S3+Broad+CTCF,
10	H	HeLa-S3+Broad+EZH2_(39875)	n/a	n/a	n/a	3	n/a,n/a/,HeLa-S3+Broad+EZH2_(39875),
11	H	HeLa-S3+Broad+Pol2(b)	n/a	n/a	n/a	3	n/a,n/a/,HeLa-S3+Broad+Pol2(b),
12	L	HepG2+Broad+CTCF	n/a	n/a	n/a	3	n/a,n/a/,HepG2+Broad+CTCF,
13	L	HepG2+Broad+EZH2_(39875)	n/a	n/a	n/a	3	n/a,n/a/,HepG2+Broad+EZH2_(39875),
14	h	HMEC+Broad+CTCF	n/a	n/a	n/a	3	n/a,n/a/,HMEC+Broad+CTCF,
15	h	HMEC+Broad+EZH2_(39875)	n/a	n/a	n/a	3	n/a,n/a/,HMEC+Broad+EZH2_(39875),
16	h	HSMM+Broad+CTCF	n/a	n/a	n/a	3	n/a,n/a/,HSMM+Broad+CTCF,
17	h	HSMM+Broad+EZH2_(39875)	n/a	n/a	n/a	3	n/a,n/a/,HSMM+Broad+EZH2_(39875),
18	h	HSMMtube+Broad+CTCF	n/a	n/a	n/a	3	n/a,n/a/,HSMMtube+Broad+CTCF,
19	h	HSMMtube+Broad+EZH2_(39875)	n/a	n/a	n/a	3	n/a,n/a/,HSMMtube+Broad+EZH2_(39875),
20	U	HUVEC+Broad+CTCF	n/a	n/a	n/a	3	n/a,n/a/,HUVEC+Broad+CTCF,
21	U	HUVEC+Broad+EZH2_(39875)	n/a	n/a	n/a	3	n/a,n/a/,HUVEC+Broad+EZH2_(39875),
22	U	HUVEC+Broad+Pol2(b)	n/a	n/a	n/a	3	n/a,n/a/,HUVEC+Broad+Pol2(b),
23	K	K562+Broad+CHD1_(A301-218A)	n/a	n/a	n/a	3	n/a,n/a/,K562+Broad+CHD1_(A301-218A),
24	K	K562+Broad+CTCF	n/a	n/a	n/a	3	n/a,n/a/,K562+Broad+CTCF,
25	K	K562+Broad+EZH2_(39875)	n/a	n/a	n/a	3	n/a,n/a/,K562+Broad+EZH2_(39875),
26	K	K562+Broad+HDAC1_(SC-6298)	n/a	n/a	n/a	3	n/a,n/a/,K562+Broad+HDAC1_(SC-6298),
27	K	K562+Broad+HDAC2_(A300-705A)	n/a	n/a	n/a	3	n/a,n/a/,K562+Broad+HDAC2_(A300-705A),
28	K	K562+Broad+HDAC6_(A301-341A)	n/a	n/a	n/a	3	n/a,n/a/,K562+Broad+HDAC6_(A301-341A),
29	K	K562+Broad+p300	n/a	n/a	n/a	3	n/a,n/a/,K562+Broad+p300,
30	K	K562+Broad+PHF8_(A301-772A)	n/a	n/a	n/a	3	n/a,n/a/,K562+Broad+PHF8_(A301-772A),
31	K	K562+Broad+PLU1	n/a	n/a	n/a	3	n/a,n/a/,K562+Broad+PLU1,
32	K	K562+Broad+Pol2(b)	n/a	n/a	n/a	3	n/a,n/a/,K562+Broad+Pol2(b),
33	K	K562+Broad+RBBP5_(A300-109A)	n/a	n/a	n/a	3	n/a,n/a/,K562+Broad+RBBP5_(A300-109A),
34	K	K562+Broad+SAP30_(39731)	n/a	n/a	n/a	3	n/a,n/a/,K562+Broad+SAP30_(39731),
35	n	NH-A+Broad+CTCF	n/a	n/a	n/a	3	n/a,n/a/,NH-A+Broad+CTCF,
36	n	NH-A+Broad+EZH2_(39875)	n/a	n/a	n/a	3	n/a,n/a/,NH-A+Broad+EZH2_(39875),
37	n	NHDF-Ad+Broad+CTCF	n/a	n/a	n/a	3	n/a,n/a/,NHDF-Ad+Broad+CTCF,
38	n	NHDF-Ad+Broad+EZH2_(39875)	n/a	n/a	n/a	3	n/a,n/a/,NHDF-Ad+Broad+EZH2_(39875),
39	n	NHEK+Broad+CTCF	n/a	n/a	n/a	3	n/a,n/a/,NHEK+Broad+CTCF,
40	n	NHEK+Broad+EZH2_(39875)	n/a	n/a	n/a	3	n/a,n/a/,NHEK+Broad+EZH2_(39875),
41	n	NHEK+Broad+Pol2(b)	n/a	n/a	n/a	3	n/a,n/a/,NHEK+Broad+Pol2(b),
42	n	NHLF+Broad+CTCF	n/a	n/a	n/a	3	n/a,n/a/,NHLF+Broad+CTCF,
43	n	NHLF+Broad+EZH2_(39875)	n/a	n/a	n/a	3	n/a,n/a/,NHLF+Broad+EZH2_(39875),
44	o	Osteobl+Broad+CTCF	n/a	n/a	n/a	3	n/a,n/a/,Osteobl+Broad+CTCF,
45	A	A549+EtOH_0.02pct+HudsonAlpha+ATF3	n/a	n/a	n/a	3	n/a,n/a/,A549+EtOH_0.02pct+HudsonAlpha+ATF3,
46	A	A549+EtOH_0.02pct+HudsonAlpha+BCL3	n/a	n/a	n/a	3	n/a,n/a/,A549+EtOH_0.02pct+HudsonAlpha+BCL3,
47	A	A549+DEX_100nM+HudsonAlpha+CREB1_(SC-240)	n/a	n/a	n/a	3	n/a,n/a/,A549+DEX_100nM+HudsonAlpha+CREB1_(SC-240),
48	A	A549+DEX_100nM+HudsonAlpha+CTCF_(SC-5916)	n/a	n/a	n/a	3	n/a,n/a/,A549+DEX_100nM+HudsonAlpha+CTCF_(SC-5916),
49	A	A549+EtOH_0.02pct+HudsonAlpha+CTCF_(SC-5916)	n/a	n/a	n/a	3	n/a,n/a/,A549+EtOH_0.02pct+HudsonAlpha+CTCF_(SC-5916),
50	A	A549+EtOH_0.02pct+HudsonAlpha+ELF1_(SC-631)	n/a	n/a	n/a	3	n/a,n/a/,A549+EtOH_0.02pct+HudsonAlpha+ELF1_(SC-631),
