CHR	Dmr.Start	Dmr.End	Delta.beta	meth.Pvalue	Meth.Status	Gene.Symbol	Expression.FC	Expression.Pvalue	Expression.Status
19	57018978	57019032	-0.1431279477122	3.97658405597572e-31	Hypermethylation	ZNF471	0.46	2.95206462377142e-34	lowexpression
5	115152344	115152503	-0.329385686202371	5.41497077223679e-263	Hypermethylation	CDO1	0.08	2.00308162966303e-16	lowexpression
6	28367397	28367553	-0.234209150104307	3.24177368277533e-68	Hypermethylation	ZSCAN12	0.57	4.41268793524442e-18	lowexpression
19	52391012	52391244	-0.168445810350912	2.62443524811645e-45	Hypermethylation	ZNF577	0.76	7.87836500028349e-11	lowexpression
5	137071447	137071849	-0.119643421171478	1.99546294118103e-34	Hypermethylation	KLHL3	0.4	1.37097476012276e-32	lowexpression
8	11059217	11059337	-0.0902175781139272	5.15987143759987e-18	Hypermethylation	XKR6	0.71	5.5871350092848e-09	lowexpression
3	44626444	44626540	-0.265604238775521	1.12464287157031e-64	Hypermethylation	ZNF660	0.39	1.3175338512017e-31	lowexpression
5	178487357	178487411	-0.0247621218388413	9.59240163219243e-06	Hypermethylation	ZNF354C	0.45	2.29521307946025e-23	lowexpression
3	44754116	44754140	-0.262796746471338	3.69053342759054e-77	Hypermethylation	ZNF502	0.4	3.07873914715953e-45	lowexpression
19	57050317	57050412	-0.0647511409819939	1.16876587057734e-11	Hypermethylation	ZFP28	0.67	1.71654922538045e-29	lowexpression
12	81471825	81471926	-0.0738021251435199	1.28953762881235e-10	Hypermethylation	ACSS3	0.41	1.30560971755039e-09	lowexpression
11	7041463	7042054	-0.059399440323653	4.11950257461253e-46	Hypermethylation	ZNF214	0.7	1.03481459763305e-11	lowexpression
17	26903671	26904129	-0.213694971476845	2.16079271415933e-103	Hypermethylation	ALDOC	0.27	2.98078869950134e-14	lowexpression
7	2958751	2959437	0.0589401940227934	7.01800935369485e-12	Hypomethylation	CARD11	1.83	8.36849214824457e-13	Overexpression
19	52074233	52074353	-0.0303742366957194	4.64749380719911e-05	Hypermethylation	ZNF175	0.64	1.05304784760795e-25	lowexpression
18	6414955	6415292	-0.142467329973204	8.51312557546649e-73	Hypermethylation	L3MBTL4	0.43	9.86625096402649e-27	lowexpression
3	44770836	44771288	-0.121920432998701	1.31198278369396e-91	Hypermethylation	ZNF501	0.56	4.95387525715897e-31	lowexpression
17	31254840	31254878	-0.0479847213335844	1.33066900483152e-10	Hypermethylation	TMEM98	0.77	7.0909808011623e-08	lowexpression
11	43902052	43902172	-0.0999395610965492	1.02424494297501e-18	Hypermethylation	ALKBH3	0.85	1.93491705329003e-11	lowexpression
4	49236225	49237993	0.0940617105683352	6.62563974542568e-56	Hypomethylation	CWH43	4.32	3.38994412617793e-09	Overexpression
7	27205215	27205233	-0.343036529153626	7.42581518130054e-101	Hypermethylation	HOXA9	0.36	2.7805154106874e-20	lowexpression
3	49459539	49460373	-0.102642237012356	3.63540327565056e-125	Hypermethylation	AMT	0.47	2.11365998073224e-21	lowexpression
