DESeq2 analysis results,,,,,,,,,,
Transcript,Gene Symbol,Name,Entrez ID,baseMean,DESeq2 Log2 Fold Change,lfcSE,stat,pvalue,padj,Log2 Fold Change (Tumor/Non-malignant)
A1BG.1,A1BG,Alpha-1B-glycoprotein ,1,167.8127172,-0.907743866,0.1780604,-5.09795477,0.000000343,0.00000113,-1.04204166
A2M.2,A2M,Alpha-2-macroglobulin ,2,32722.7008,-0.243218759,0.16147387,-1.506242214,0.132005006,0.173748161,-0.511320935
NAT1.9,NAT1,Arylamine N-acetyltransferase 1 ,9,410.1463605,-0.067310578,0.216065624,-0.311528399,0.755398957,0.795660282,-0.305027881
NAT2.10,NAT2,Arylamine N-acetyltransferase 2 ,10,7.786847938,-0.936340608,0.202125158,-4.632479279,0.00000361,0.0000103,-1.172246477
SERPINA3.12,SERPINA3,Alpha-1-antichymotrypsin ,12,21425.15585,0.570080588,0.24728266,2.305380358,0.021145281,0.03291101,0.989036385
AADAC.13,AADAC,Arylacetamide deacetylase ,13,0.736988936,0.742143569,0.511830767,1.449978423,0.147064536,0.191149924,-0.157541277
AAMP.14,AAMP,Angio-associated migratory cell protein,14,7878.301664,0.324833752,0.045786558,7.09452212,1.3E-12,8.64E-12,0.121648852
AANAT.15,AANAT,Serotonin N-acetyltransferase ,15,0.90123581,0.263428733,0.295385009,0.891814832,0.37249219,0.433625972,0.027651753
AARS.16,AARS,"Alanine--tRNA ligase, cytoplasmic ",16,8485.85645,0.077095838,0.066829996,1.153611296,0.248659565,0.304185796,-0.074044727
ABAT.18,ABAT,"4-aminobutyrate aminotransferase, mitochondrial ",18,5196.464434,0.381413549,0.13954862,2.733194696,0.006272324,0.010723886,0.153472091
ABCA1.19,ABCA1,ATP-binding cassette sub-family A member 1 ,19,1042.93247,0.068207976,0.131700366,0.517902705,0.604526155,0.659740164,0.028482717
ABCA2.20,ABCA2,ATP-binding cassette sub-family A member 2 ,20,4397.014672,0.588537023,0.077134561,7.630004178,2.35E-14,1.99E-13,0.447189551
ABCA3.21,ABCA3,ATP-binding cassette sub-family A member 3 ,21,3276.007417,0.665246961,0.084141296,7.906307498,2.65E-15,2.56E-14,0.497953308
ABCB7.22,ABCB7,"ATP-binding cassette sub-family B member 7, mitochondrial ",22,867.3095009,0.05902727,0.050374265,1.171774314,0.241287678,0.295848819,-0.118563414
ABCF1.23,ABCF1,ATP-binding cassette sub-family F member 1 ,23,3951.750154,0.109844878,0.047661914,2.304667789,0.021185186,0.032962392,-0.078695052
ABCA4.24,ABCA4,Retinal-specific ATP-binding cassette transporter ,24,25.09486347,-2.775385689,0.243804289,-11.38366231,5.04E-30,4.21E-28,-2.68484005
ABL1.25,ABL1,Tyrosine-protein kinase ABL1 ,25,6289.031753,-0.103949951,0.059512143,-1.746701539,0.080689123,0.111619273,-0.243324963
ABP1.26,AOC1,Amiloride-sensitive amine oxidase [copper-containing] ,26,1690.518112,-1.857668025,0.345988108,-5.369167273,7.91E-08,0.000000283,-2.316368268
ABL2.27,ABL2,Abelson tyrosine-protein kinase 2 ,27,1420.444445,0.170139872,0.062741269,2.711769694,0.006692507,0.011392389,0.0107378
ABO.28,ABO,Histo-blood group ABO system transferase ,28,91.68661145,-1.341389543,0.275443201,-4.86993157,0.00000112,0.00000341,-1.602192964
ABR.29,ABR,Active breakpoint cluster region-related protein,29,4203.252726,-0.320495963,0.054919223,-5.835770152,5.35E-09,2.24E-08,-0.516985759
ACAA1.30,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal ",30,6697.531636,0.310002743,0.083154226,3.728045539,0.000192971,0.00042016,0.059579578
ACACA.31,ACACA,Acetyl-CoA carboxylase 1 ,31,13429.62542,0.806540575,0.097508018,8.271530807,1.32E-16,1.53E-15,0.638041347
ACACB.32,ACACB,Acetyl-CoA carboxylase 2 ,32,1207.350414,-1.203480681,0.120276627,-10.00593977,1.44E-23,4.53E-22,-1.331975465
ACADL.33,ACADL,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial ",33,1297.097396,0.53647892,0.191370529,2.80335181,0.005057447,0.008788968,0.197285738
ACADM.34,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial ",34,2172.329495,-0.189571576,0.074508712,-2.544287394,0.010950095,0.017945285,-0.346330798
ACADS.35,ACADS,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial ",35,1075.166304,-0.027868451,0.097693647,-0.285263701,0.775442121,0.813033661,-0.284384212
ACADSB.36,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial ",36,5420.357279,0.398954808,0.103967102,3.837317782,0.000124385,0.000279185,0.216720122
ACADVL.37,ACADVL,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial ",37,14106.3169,0.065479074,0.084893152,0.771311614,0.44052225,0.502289038,-0.147241349
ACAT1.38,ACAT1,"Acetyl-CoA acetyltransferase, mitochondrial ",38,3360.209592,0.248031273,0.08899672,2.786970942,0.005320325,0.009217335,0.055996036
ACAT2.39,ACAT2,"Acetyl-CoA acetyltransferase, cytosolic ",39,2535.913126,-0.025656852,0.127426792,-0.201345818,0.840428178,0.869095143,-0.328260876
ACCN1.40,ASIC2,Acid-sensing ion channel 2 ,40,41.53437288,1.416441012,0.334034251,4.240406508,0.0000223,0.0000565,1.635920025
ACCN2.41,ASIC1,Acid-sensing ion channel 1 ,41,540.1163412,0.522760221,0.109111556,4.791061911,0.00000166,0.00000496,0.304235114
ACHE.43,ACHE,Acetylcholinesterase ,43,321.3494667,0.056314897,0.177326003,0.317578338,0.750804808,0.79164945,-0.116365563
ACLY.47,ACLY,ATP-citrate synthase ,47,17608.81796,0.590775552,0.098992563,5.967878145,2.4E-09,1.05E-08,0.406973136
ACO1.48,ACO1,Cytoplasmic aconitate hydratase ,48,3035.922295,-0.450896372,0.070129452,-6.429486589,1.28E-10,6.59E-10,-0.625786917
ACR.49,ACR,Acrosin ,49,8.758173269,0.200751873,0.160296199,1.252380749,0.210431158,0.262097014,0.002469441
ACO2.50,ACO2,"Aconitate hydratase, mitochondrial ",50,7936.396704,-0.050817295,0.053373928,-0.952099581,0.341046482,0.400996877,-0.191633958
ACOX1.51,ACOX1,Peroxisomal acyl-coenzyme A oxidase 1 ,51,5728.683661,0.063745843,0.055494486,1.14868786,0.250684713,0.306251904,-0.112033301
ACP1.52,ACP1,Low molecular weight phosphotyrosine protein phosphatase ,52,4032.510825,0.210603236,0.04909001,4.290144505,0.0000179,0.0000458,0.009868903
ACP2.53,ACP2,Lysosomal acid phosphatase ,53,3968.075744,0.305390767,0.075590609,4.040062261,0.0000534,0.000127638,0.099276173
ACP5.54,ACP5,Tartrate-resistant acid phosphatase type 5 ,54,1825.740685,0.048444481,0.197494527,0.245295309,0.806227784,0.840131686,-0.238485757
ACPP.55,ACPP,Prostatic acid phosphatase ,55,320437.0827,-0.636295884,0.223116622,-2.851853337,0.004346515,0.007638845,-0.948126443
ACRV1.56,ACRV1,Acrosomal protein SP-10 ,56,16.85847372,0.455817357,0.260765204,1.747999159,0.080464173,0.111356408,0.465619094
ACTA1.58,ACTA1,"Actin, alpha skeletal muscle ",58,576.325364,-1.006564624,0.355873454,-2.828434129,0.004677633,0.008180939,-0.78300632
ACTA2.59,ACTA2,"Actin, aortic smooth muscle ",59,72006.77478,-1.257542573,0.163966132,-7.669526363,1.73E-14,1.49E-13,-1.490808987
ACTB.60,ACTB,"Actin, cytoplasmic 1 ",60,169585.3071,-0.594266984,0.07998733,-7.429513957,1.09E-13,8.47E-13,-0.779112092
ACTC1.70,ACTC1,"Actin, alpha cardiac muscle 1 ",70,2688.725375,-2.388808733,0.298260996,-8.009122095,1.16E-15,1.18E-14,-2.627834281
ACTG1.71,ACTG1,"Actin, cytoplasmic 2 ",71,131311.3824,0.3274368,0.071981523,4.54890071,0.00000539,0.000015,0.1301198
ACTG2.72,ACTG2,"Actin, gamma-enteric smooth muscle ",72,72355.1943,-1.610098251,0.192324987,-8.371758009,5.68E-17,6.91E-16,-1.832393609
ACTN4.81,ACTN4,Alpha-actinin-4 ,81,19094.05733,-0.453494869,0.056493879,-8.027327464,9.96E-16,1.03E-14,-0.60744184
ACTL6A.86,ACTL6A,Actin-like protein 6A ,86,1876.295926,0.292319464,0.058713114,4.97877634,0.00000064,0.00000202,0.112230071
ACTN1.87,ACTN1,Alpha-actinin-1 ,87,15649.32086,-0.832992731,0.103721827,-8.031026369,9.67E-16,9.98E-15,-0.982967235
ACTN2.88,ACTN2,Alpha-actinin-2 ,88,257.6008019,-1.024716408,0.36394944,-2.815546051,0.004869442,0.008493884,-0.967774911
ACTN3.89,ACTN3,Alpha-actinin-3 ,89,4.573872096,-1.369909074,0.19843426,-6.903591513,5.07E-12,3.12E-11,-1.697989961
ACVR1.90,ACVR1,Activin receptor type-1 ,90,1447.546532,-0.173978567,0.067795926,-2.566209741,0.010281664,0.016922329,-0.321851695
ACVR1B.91,ACVR1B,Activin receptor type-1B ,91,3200.638609,-0.228581911,0.072587703,-3.149044556,0.001638052,0.003092159,-0.332147013
ACVR2A.92,ACVR2A,Activin receptor type-2A ,92,1079.306719,-0.213773261,0.063807203,-3.350299799,0.000807241,0.001602421,-0.412551201
ACVR2B.93,ACVR2B,Activin receptor type-2B ,93,733.4473712,0.249451585,0.088946739,2.804505111,0.005039389,0.008759974,0.13198227
ACVRL1.94,ACVRL1,Serine/threonine-protein kinase receptor R3 ,94,763.8798493,-0.984899896,0.127651852,-7.715515913,1.2E-14,1.06E-13,-1.12170911
ACY1.95,ACY1,Aminoacylase-1 ,95,3147.528172,0.837644494,0.103335484,8.106068348,5.23E-16,5.59E-15,0.57163477
ACYP1.97,ACYP1,Acylphosphatase-1 ,97,176.7941073,0.311822245,0.11172215,2.79105123,0.005253716,0.009109361,0.107897269
ACYP2.98,ACYP2,Acylphosphatase-2 ,98,522.5437728,0.229518796,0.080752308,2.842256799,0.004479539,0.007859634,-0.003541077
ADA.100,ADA,Adenosine deaminase ,100,103.9719574,-0.453622347,0.127707717,-3.552035513,0.000382263,0.000796503,-0.677678986
ADAM8.101,ADAM8,Disintegrin and metalloproteinase domain-containing protein 8 ,101,306.912288,-0.101643064,0.124842314,-0.814171581,0.415546663,0.47718478,-0.354569794
ADAM10.102,ADAM10,Disintegrin and metalloproteinase domain-containing protein 10 ,102,4460.214135,-0.107511696,0.138800203,-0.77457881,0.438588582,0.500339888,-0.223107947
ADAR.103,ADAR,Double-stranded RNA-specific adenosine deaminase ,103,14257.09874,0.030532853,0.0619149,0.493142256,0.621912075,0.676014432,-0.118935141
ADARB1.104,ADARB1,Double-stranded RNA-specific editase 1 ,104,1891.262722,0.169940435,0.073328468,2.317523315,0.020475242,0.031951332,-0.034220632
ADARB2.105,ADARB2,Double-stranded RNA-specific editase B2 ,105,113.9220155,-0.442262822,0.276149449,-1.60153433,0.109258623,0.146716092,-0.184455939
ADCY1.107,ADCY1,Adenylate cyclase type 1 ,107,965.9515723,0.694423572,0.199086906,3.48804242,0.000486571,0.000999045,0.526456955
ADCY2.108,ADCY2,Adenylate cyclase type 2 ,108,860.7994468,-0.288793204,0.160900979,-1.794850515,0.07267752,0.101475875,-0.46771576
ADCY3.109,ADCY3,Adenylate cyclase type 3 ,109,1416.575735,-0.660506625,0.102945494,-6.416080943,1.4E-10,7.17E-10,-0.840694037
ADCY5.111,ADCY5,Adenylate cyclase type 5 ,111,887.8306458,-1.422013426,0.178511926,-7.965929571,1.64E-15,1.63E-14,-1.620336039
ADCY6.112,ADCY6,Adenylate cyclase type 6 ,112,4342.888289,0.511772481,0.077683459,6.58792089,4.46E-11,2.43E-10,0.331530844
ADCY7.113,ADCY7,Adenylate cyclase type 7 ,113,377.8763564,-0.256030657,0.124692733,-2.053292531,0.040044215,0.059058348,-0.491732209
ADCY8.114,ADCY8,Adenylate cyclase type 8 ,114,3.677595328,-3.516274624,0.385143538,-9.129777025,6.86E-20,1.27E-18,-5.770984865
ADCY9.115,ADCY9,Adenylate cyclase type 9 ,115,904.9730933,-0.914807638,0.102639985,-8.912780299,4.98E-19,8.12E-18,-1.007410085
ADCYAP1.116,ADCYAP1,Pituitary adenylate cyclase-activating polypeptide ,116,27.77756194,-0.612256693,0.264212487,-2.317289014,0.020487993,0.031968623,-0.909455536
ADCYAP1R1.117,ADCYAP1R1,Pituitary adenylate cyclase-activating polypeptide type I receptor ,117,6.822938209,-2.266606402,0.30766409,-7.367146417,1.74E-13,1.32E-12,-2.608247713
ADD1.118,ADD1,Alpha-adducin ,118,14736.88691,-0.336419788,0.041060272,-8.19331602,2.54E-16,2.82E-15,-0.511671241
ADD2.119,ADD2,Beta-adducin ,119,185.7306278,0.557806793,0.274916063,2.029007645,0.042457512,0.062343583,0.450867227
ADD3.120,ADD3,Gamma-adducin ,120,2966.490085,-0.874934219,0.135172774,-6.472710378,9.63E-11,5.03E-10,-1.100262795
PLIN2.123,PLIN2,Perilipin-2 ,123,1432.376146,-0.540744738,0.131150031,-4.123100327,0.0000374,0.0000915,-0.665871591
ADH1A.124,ADH1A,Alcohol dehydrogenase 1A ,124,2.890348499,-1.014709692,0.258250138,-3.929173859,0.0000852,0.000196838,-1.282061691
ADH1B.125,ADH1B,Alcohol dehydrogenase 1B ,125,265.2179403,-1.883065449,0.217625614,-8.65277489,5.03E-18,7.08E-17,-2.106946839
ADH1C.126,ADH1C,Alcohol dehydrogenase 1C ,126,332.6114374,-0.199356702,0.198433375,-1.004653086,0.315063925,0.373847717,-0.518749248
ADH4.127,ADH4,Alcohol dehydrogenase 4 ,127,2.552583533,-1.569844138,0.364818162,-4.303086582,0.0000168,0.0000434,-1.498319856
ADH5.128,ADH5,Alcohol dehydrogenase class-3 ,128,9145.76958,-0.418779715,0.086306643,-4.852230393,0.00000122,0.00000371,-0.651694431
ADH6.130,ADH6,Alcohol dehydrogenase 6 ,130,16.44144983,0.315280318,0.288227333,1.093859887,0.274016434,0.33107651,-0.334389505
ADH7.131,ADH7,Alcohol dehydrogenase class 4 mu/sigma chain ,131,0.770006694,-1.130166028,0.449373346,-2.514982334,0.011903835,0.019403575,-1.764885307
ADK.132,ADK,Adenosine kinase ,132,755.9162317,0.202905518,0.065134335,3.11518524,0.001838294,0.003440619,-0.01988857
ADM.133,ADM,ADM ,133,591.0367928,-0.038519049,0.18273905,-0.210787181,0.833053342,0.862821355,-0.24356786
ADORA1.134,ADORA1,Adenosine receptor A1,134,29.86326715,0.07357737,0.178055468,0.413227245,0.679440129,0.728039527,-0.039444183
ADORA2A.135,ADORA2A,Adenosine receptor A2a,135,160.3494423,0.316724725,0.113573403,2.788722675,0.005291636,0.009172616,0.023087991
ADORA2B.136,ADORA2B,Adenosine receptor A2b,136,85.71885762,-1.299920586,0.18069767,-7.193897878,6.3E-13,4.4E-12,-1.528714208
ADORA3.140,,,140,113.7410363,-0.126965428,0.153809582,-0.825471511,0.40910395,0.470803018,-0.349926293
ADPRH.141,ADPRH,[Protein ADP-ribosylarginine] hydrolase ,141,878.1173565,-0.398641942,0.109537335,-3.639324838,0.000273354,0.000582517,-0.501867534
PARP1.142,PARP1,Poly [ADP-ribose] polymerase 1 ,142,7952.328289,0.099071258,0.057492676,1.723197909,0.084852742,0.116787751,-0.061920181
PARP4.143,PARP4,Poly [ADP-ribose] polymerase 4 ,143,2820.952564,-0.45861207,0.084286824,-5.441088511,0.000000053,0.000000195,-0.544662964
ADRA1D.146,ADRA1D,Alpha-1D adrenergic receptor ,146,165.7181943,-1.454295787,0.237681669,-6.118670367,9.44E-10,4.36E-09,-1.782081682
ADRA1B.147,ADRA1B,Alpha-1B adrenergic receptor ,147,19.18895773,-1.443085,0.211501813,-6.823038443,8.91E-12,5.34E-11,-1.762010789
ADRA1A.148,ADRA1A,Alpha-1A adrenergic receptor ,148,162.2986751,-1.965668235,0.217170213,-9.051279229,1.41E-19,2.5E-18,-2.161360179
ADRA2A.150,ADRA2A,Alpha-2A adrenergic receptor ,150,676.8615463,1.234987566,0.179428086,6.882911104,5.86E-12,3.59E-11,1.25538374
ADRA2B.151,ADRA2B,Alpha-2B adrenergic receptor ,151,50.02949863,-1.480506874,0.170937341,-8.661108581,4.67E-18,6.61E-17,-1.644857618
ADRA2C.152,ADRA2C,Alpha-2C adrenergic receptor ,152,388.6997049,-0.582425417,0.179194521,-3.250241213,0.001153072,0.002233748,-0.706859788
ADRB1.153,ADRB1,Beta-1 adrenergic receptor ,153,1489.212831,1.020430539,0.162452714,6.281400371,3.36E-10,1.65E-09,0.820224168
ADRB2.154,ADRB2,Beta-2 adrenergic receptor ,154,1287.066848,0.492422232,0.128654988,3.827463191,0.000129471,0.000289919,0.279199605
ADRB3.155,ADRB3,Beta-3 adrenergic receptor ,155,10.05929828,-1.942780135,0.361212019,-5.378503568,7.51E-08,0.00000027,-2.54202829
ADRBK1.156,ADRBK1,Beta-adrenergic receptor kinase 1 ,156,10715.77233,0.719194856,0.068255689,10.53677522,5.85E-26,2.62E-24,0.503607588
ADRBK2.157,ADRBK2,Beta-adrenergic receptor kinase 2 ,157,2114.905714,0.117720644,0.113873865,1.033781053,0.301238531,0.359606434,-0.078978255
ADSL.158,ADSL,Adenylosuccinate lyase ,158,2394.447908,0.49773171,0.064781212,7.683272568,1.55E-14,1.35E-13,0.252415255
ADSS.159,ADSS,Adenylosuccinate synthetase isozyme 2 ,159,2742.531257,-0.041002954,0.061314511,-0.66873165,0.503666674,0.564250613,-0.1953326
