CHR	START	END	GENESYMBOL	CpGs	Chain	Feature	ProbeType	Q0	Q25	Q50	Q75	Q100	ENSGID	Blood	B2TRatio	BURCHR	BURSTART	BUREND
chr12	51718251	51718252	BIN2	cg20306694	F	CpG_Ocean	II	0.033261767	0.708447839	0.790372007	0.848288306	0.944561936	ENSG00000110934.6	235.2	37.46268251	chr12	51716113	51718310
chr12	51718112	51718113	BIN2	cg08075204	F	CpG_Ocean	I	0.026581193	0.752011793	0.874854299	0.951452643	0.988492256	ENSG00000110934.6	235.2	37.46268251	chr12	51716113	51718310
chr12	51718011	51718012	BIN2	cg07119472	F	CpG_Ocean	II	0.030666646	0.630203976	0.743469656	0.823369663	0.964071406	ENSG00000110934.6	235.2	37.46268251	chr12	51716113	51718310
chr12	51718108	51718109	BIN2	cg24749672	F	CpG_Ocean	I	0.026674346	0.681880015	0.796936446	0.897024285	1	ENSG00000110934.6	235.2	37.46268251	chr12	51716113	51718310
chr12	51717960	51717961	BIN2	cg18610205	F	CpG_Ocean	II	0.046797591	0.637378731	0.734732633	0.805459119	0.97242621	ENSG00000110934.6	235.2	37.46268251	chr12	51716113	51718310
chr12	51717674	51717675	BIN2	cg10590292	F	CpG_Ocean	II	0.062795589	0.779088099	0.873436862	0.921063328	0.972774484	ENSG00000110934.6	235.2	37.46268251	chr12	51716113	51718310
chr12	51717865	51717866	BIN2	cg12353452	F	CpG_Ocean	I	0.031131103	0.67987658	0.793898619	0.88216244	0.973561648	ENSG00000110934.6	235.2	37.46268251	chr12	51716113	51718310
chr12	51718088	51718089	BIN2	cg14556909	F	CpG_Ocean	I	0.032112742	0.753238585	0.868618502	0.938931916	0.986674311	ENSG00000110934.6	235.2	37.46268251	chr12	51716113	51718310
chr12	51717978	51717979	BIN2	cg06380123	F	CpG_Ocean	II	0.052452545	0.614868961	0.731715647	0.818775305	0.940201915	ENSG00000110934.6	235.2	37.46268251	chr12	51716113	51718310
chr16	29756951	29756952	C16orf54	cg07641284	F	CpG_Ocean	I	0.027240593	0.642049793	0.756530354	0.850290805	0.980532661	ENSG00000185905.3	63.03	38.90641673	chr16	29756099	29757961
chr16	29757318	29757319	C16orf54	cg09638208	R	CpG_Ocean	II	0.035786838	0.635223561	0.78612295	0.880045883	0.970757746	ENSG00000185905.3	63.03	38.90641673	chr16	29756099	29757961
chr16	29757323	29757324	C16orf54	cg23093496	R	CpG_Ocean	II	0.052443306	0.626409332	0.755009901	0.841712307	0.967688174	ENSG00000185905.3	63.03	38.90641673	chr16	29756099	29757961
chr19	2281919	2281920	C19orf35	cg01129847	F	S_Shelf	II	0.094108191	0.627955447	0.728638383	0.821393536	0.953865092	ENSG00000188305.4	20.44	33.3471328	chr19	2281161	2282729
chr17	80275498	80275499	CD7	cg20186396	R	N_Shore	II	0.03697492	0.643681631	0.724533635	0.784950858	0.914115628	ENSG00000173762.3	67.17	20.91914915	chr17	80274631	80275599
chr17	80274776	80274777	CD7	cg02473123	R	N_Shelf	II	0.108205958	0.700395033	0.811089954	0.883438748	0.967648024	ENSG00000173762.3	67.17	20.91914915	chr17	80274631	80275599
chrX	47489719	47489720	CFP	cg01798375	R	CpG_Ocean	I	0.022835262	0.601960497	0.799024828	0.908240525	0.98564255	ENSG00000126759.8	244.4	44.505269	chrX	47488804	47489819
chr2	158301005	158301006	CYTIP	cg03915055	R	CpG_Ocean	I	0.088116736	0.717904867	0.837121606	0.893108603	0.956844585	ENSG00000115165.5	192.4	22.8633446	chr2	158289531	158301810
chr1	27945005	27945006	FGR	cg20485084	F	S_Shelf	II	0.069840836	0.745351585	0.840870878	0.889235371	0.954953149	ENSG00000000938.8	597.3	37.78979188	chr1	27944864	27945323
chr6	32159933	32159934	GPSM3	cg19321684	R	N_Shelf	II	0.046397773	0.819287898	0.893323897	0.924579284	0.967275328	ENSG00000213654.5	831.1	32.28411865	chr6	32156961	32161217
chr6	32159527	32159528	GPSM3	cg21386484	R	N_Shelf	II	0.068067091	0.628061368	0.739280098	0.8350917	0.959436077	ENSG00000213654.5	831.1	32.28411865	chr6	32156961	32161217
chr6	32161004	32161005	GPSM3	cg20116128	R	N_Shelf	II	0.098681005	0.803270276	0.861125023	0.896837004	0.96261692	ENSG00000213654.5	831.1	32.28411865	chr6	32156961	32161217
chr6	32160998	32160999	GPSM3	cg20808711	R	N_Shelf	II	0.100403088	0.801985614	0.875345895	0.915304199	0.966352592	ENSG00000213654.5	831.1	32.28411865	chr6	32156961	32161217
chr6	32160798	32160799	GPSM3	cg14044426	R	N_Shelf	II	0.073837249	0.614289112	0.737182626	0.826192381	0.950594821	ENSG00000213654.5	831.1	32.28411865	chr6	32156961	32161217
chr6	32160074	32160075	GPSM3	cg00442389	R	N_Shelf	II	0.029326637	0.638580122	0.768755998	0.859210276	0.965646917	ENSG00000213654.5	831.1	32.28411865	chr6	32156961	32161217
chr6	32159607	32159608	GPSM3	cg06194738	F	N_Shelf	II	0.146278626	0.612725783	0.684338915	0.735939023	0.878464105	ENSG00000213654.5	831.1	32.28411865	chr6	32156961	32161217
chr19	10450022	10450023	ICAM3	cg14145194	F	CpG_Ocean	II	0.121451089	0.642405713	0.76082262	0.843219598	0.959164449	ENSG00000076662.5	403.5	28.40833701	chr19	10449717	10450472
chrX	70331762	70331763	IL2RG	cg23735003	R	CpG_Ocean	II	0.045545533	0.682142253	0.816500584	0.888973624	0.965410168	ENSG00000147168.8	422.4	24.98398406	chrX	70327712	70332416
chr21	46341304	46341305	ITGB2	cg24707889	R	CpG_Ocean	II	0.061644848	0.624997734	0.757084195	0.838839604	0.949199604	ENSG00000160255.12	572.7	30.19165564	chr21	46338533	46341697
chr21	46341067	46341068	ITGB2	cg08422803	F	CpG_Ocean	II	0.044522605	0.635871809	0.768650433	0.860971491	0.965778528	ENSG00000160255.12	572.7	30.19165564	chr21	46338533	46341697
chr22	42828415	42828416	NFAM1	cg07264666	R	CpG_Ocean	I	0.012068342	0.603243537	0.717435265	0.81349443	0.989244936	ENSG00000235568.2	109.2	47.21493889	chr22	42828082	42828478
chr22	30663881	30663882	OSM	cg25739715	F	CpG_Ocean	II	0.063548591	0.607731952	0.710859739	0.794352353	0.94339492	ENSG00000099985.3	49.48	46.86288795	chr22	30661877	30664060
chr22	30661949	30661950	OSM	cg14519350	F	CpG_Ocean	II	0.096181551	0.600522611	0.68883001	0.767464971	0.963601646	ENSG00000099985.3	49.48	46.86288795	chr22	30661877	30664060
chr22	30662994	30662995	OSM	cg25666403	R	CpG_Ocean	I	0.017375564	0.600728946	0.716454635	0.824846741	0.984604831	ENSG00000099985.3	49.48	46.86288795	chr22	30661877	30664060
chr10	72362730	72362731	PRF1	cg12433559	F	S_Shelf	II	0.13220456	0.618226813	0.745761591	0.830028502	0.954546984	ENSG00000180644.6	138.9	30.98476364	chr10	72362078	72362809
chr10	72362715	72362716	PRF1	cg23364656	R	S_Shelf	II	0.161672781	0.624124175	0.723784177	0.791968681	0.944238931	ENSG00000180644.6	138.9	30.98476364	chr10	72362078	72362809
chr15	77287243	77287244	PSTPIP1	cg26227523	R	CpG_Ocean	II	0.090827288	0.636501912	0.757972576	0.842885215	0.949492602	ENSG00000140368.8	103.6	27.15204201	chr15	77287242	77289608
chr1	198608383	198608384	PTPRC	cg25132230	F	CpG_Ocean	II	0.035716557	0.671301459	0.805342348	0.879794396	0.961653371	ENSG00000081237.14	229.8	22.04525003	chr1	198607547	198615150
chr1	198608361	198608362	PTPRC	cg13673094	F	CpG_Ocean	II	0.057790408	0.685635299	0.810104597	0.876542279	0.962968154	ENSG00000081237.14	229.8	22.04525003	chr1	198607547	198615150
chr1	198633497	198633498	PTPRC	cg22073152	F	CpG_Ocean	II	0.035669181	0.647873744	0.806518252	0.880309675	0.962067268	ENSG00000081237.14	229.8	22.04525003	chr1	198633323	198634202
chr19	3179828	3179829	S1PR4	cg27125093	F	Island	I	0.078747617	0.66281086	0.762883501	0.855031286	0.988734805	ENSG00000125910.4	260	52.48238783	chr19	3178201	3181464
chr19	3178844	3178845	S1PR4	cg20695297	F	Island	I	0.025290124	0.624968103	0.742836132	0.841448176	0.984376637	ENSG00000125910.4	260	52.48238783	chr19	3178201	3181464
chr11	47399998	47399999	SPI1	cg10435245	R	Island	II	0.101601591	0.685202802	0.778138817	0.847065016	0.954841696	ENSG00000066336.7	908	52.78974151	chr11	47399892	47400330
chr11	47400146	47400147	SPI1	cg03565868	R	S_Shore	II	0.144003228	0.739547809	0.821235468	0.874632444	0.959677539	ENSG00000066336.7	908	52.78974151	chr11	47399892	47400330
chr11	47399980	47399981	SPI1	cg03106245	R	Island	II	0.081119247	0.823096804	0.894461012	0.931322893	0.979432959	ENSG00000066336.7	908	52.78974151	chr11	47399892	47400330
chr11	47399893	47399894	SPI1	cg07675031	F	Island	I	0.055373349	0.70618162	0.810316478	0.897281926	1	ENSG00000066336.7	908	52.78974151	chr11	47399892	47400330
chr11	47399994	47399995	SPI1	cg14088811	R	Island	II	0.087738449	0.710500513	0.799798947	0.866814189	0.96902385	ENSG00000066336.7	908	52.78974151	chr11	47399892	47400330
