CHR	Dmr.Start	Dmr.End	Delta.beta	meth.Pvalue	Meth.Status	Gene.Symbol	Expression.FC	Expression.Pvalue	Expression.Status
19	16999554	16999674	-0.234731945470635	3.60562102183178e-49	Hypermethylation	F2RL3	0.17	1.17278001217857e-06	lowexpression
17	38465288	38465711	-0.0870452483695922	1.33752054195165e-15	Hypermethylation	RARA	0.34	2.58771709917488e-20	lowexpression
10	80853736	80854236	-0.182073600540905	7.68909050761654e-47	Hypermethylation	ZMIZ1	0.71	2.99055472440118e-10	lowexpression
7	45018457	45018859	-0.121351877614594	4.15511599464741e-25	Hypermethylation	MYO1G	0.34	1.16026376092089e-14	lowexpression
10	80853736	80854236	-0.182073600540905	7.68909050761654e-47	Hypermethylation	ZMIZ1	0.71	2.99055472440118e-10	lowexpression
7	45018457	45018859	-0.121351877614594	4.15511599464741e-25	Hypermethylation	MYO1G	0.34	1.16026376092089e-14	lowexpression
13	100577701	100579715	0.154398453108255	1.99776424769216e-30	Hypomethylation	ZIC5	120.34	8.43317406274768e-77	Overexpression
6	33228025	33228814	0.158052718429341	9.26863224476239e-39	Hypomethylation	VPS52	1.14	1.58125539844025e-08	Overexpression
5	234905	235743	0.0436046156420854	1.30559334879011e-07	Hypomethylation	SDHA	1.68	5.47640982630996e-60	Overexpression
7	157361614	157361837	-0.135457517364967	5.81196087958037e-21	Hypermethylation	PTPRN2	0.23	2.43470818928681e-25	lowexpression
2	202563039	202567041	0.00388256232442696	6.7073983408095e-07	Hypomethylation	MPP4	7.59	1.58691393881818e-07	Overexpression
2	69001458	69002694	-0.134164900172186	2.56007665017911e-73	Hypermethylation	ARHGAP25	0.41	2.07826671893423e-18	lowexpression
2	235936276	235936678	0.393195260306516	2.74746441548294e-109	Hypomethylation	SH3BP4	1.42	1.00001471018158e-13	Overexpression
